state,cd_2020,cd_2010,pop,vap,pop_overlap,vap_overlap
MD,6,6,638192,492558,0.8186923848595172,0.8190911403898249
MD,6,8,141334,108789,0.1813076151404828,0.18090885961017517
MD,7,2,182183,137713,0.23709735563627277,0.22506279754268355
MD,7,3,163896,133607,0.21329821223364728,0.21835240820609034
MD,7,7,422310,340567,0.5496044321300799,0.5565847942512261
MD,8,3,79838,61329,0.10373434818142012,0.10249892201397873
MD,8,6,153404,118600,0.19931942118317808,0.19821572422276373
MD,8,8,536397,418409,0.6969462306354018,0.6992853537632575
MA,1,1,712241,569550,0.9135628439131382,0.912746235552792
MA,1,2,67389,54446,0.08643715608686171,0.08725376444720799
MA,2,1,18593,15612,0.023778829896894033,0.02489531275414364
MA,2,2,687170,553905,0.8788306642418475,0.8832717275867238
MA,2,4,31873,23661,0.040762794885371025,0.03773046343042484
MA,2,5,44278,33928,0.056627710975887376,0.05410249622870775
MA,3,2,3507,2715,0.00448328452045986,0.00443265306122449
MA,3,3,754480,589753,0.9645134031926303,0.9628620408163265
MA,3,6,24252,20032,0.031003312286909755,0.03270530612244898
MA,4,2,22195,17520,0.028335899458943267,0.028375870144762286
MA,4,4,696989,550173,0.8898315038517418,0.8910752057736474
MA,4,5,4401,3227,0.005618666074287421,0.005226537269243602
MA,4,8,3506,2836,0.004476038004192615,0.004593262998318827
MA,4,9,56191,43670,0.07173789261083492,0.07072912381402792
MA,5,3,14546,11261,0.018645012850010575,0.01786130642426511
MA,5,4,22146,16584,0.02838666675211977,0.026304227487790835
MA,5,5,740397,599993,0.9490383321263083,0.9516613822408397
MA,5,7,3066,2631,0.003929988271561421,0.004173083847104298
MA,6,3,28668,21808,0.03669175241898326,0.034943957954445305
MA,6,6,752652,602277,0.9633082475810167,0.9650560420455547
MA,7,5,3340,2963,0.004283391214687671,0.004536692394494724
MA,7,7,773559,648082,0.992052642108557,0.9922877760408134
MA,7,8,2857,2074,0.0036639666767552927,0.0031755315646918862
MA,8,4,25058,20209,0.03201657942112573,0.03167644228207065
MA,8,7,24760,21573,0.03163582514434803,0.0338144336360587
MA,8,8,732839,596200,0.9363475954345263,0.9345091240818707
MA,9,8,60158,47726,0.07722821593809213,0.07491837247268618
MA,9,9,718806,589314,0.9227717840619079,0.9250816275273138
MI,1,1,671739,548113,0.8672904460276349,0.8666544390280925
MI,1,4,62548,51101,0.08075648848456991,0.08079886535946885
MI,1,5,40239,33233,0.051953065487795116,0.052546695612438674
MI,2,1,31909,26352,0.04106623698702596,0.043313538274920654
MI,2,2,179577,140182,0.2311119633777041,0.23041053515691132
MI,2,3,232339,177874,0.29901558918576654,0.292363096050138
MI,2,4,327426,259554,0.42139063310395064,0.42661665579116403
MI,2,7,5762,4439,0.007415577345552777,0.007296174726865998
MI,3,2,388927,301337,0.5011836080910599,0.5041305860781349
MI,3,3,387090,296399,0.4988163919089401,0.4958694139218652
MI,4,2,190662,143035,0.24662648108863247,0.24123990582139798
MI,4,3,87726,67191,0.11347596626481089,0.11332296649103751
MI,4,6,494692,382690,0.6398975526465567,0.6454371276875646
MI,5,3,46584,36456,0.060086135843887487,0.060067719532389215
MI,5,6,225696,175649,0.2911128395033065,0.28941285023438207
MI,5,7,503007,394810,0.648801024652806,0.6505194302332287
MI,6,7,104231,81966,0.13469931054981552,0.13255149416774073
MI,6,11,231634,179886,0.2993441500119539,0.29090303393917244
MI,6,12,437940,356519,0.5659565394382305,0.5765454718930868
MI,7,4,147222,115080,0.18984653356183726,0.18824961231179946
MI,7,7,103413,81539,0.13335370783734957,0.13338273495213604
MI,7,8,478766,380460,0.6173809993565268,0.6223622480026697
MI,7,11,46078,34237,0.05941875924428643,0.05600540473339484
MI,8,4,160665,126646,0.20719418337133366,0.2088028041296943
MI,8,5,614767,479888,0.7928058166286663,0.7911971958703057
MI,9,5,13854,10832,0.017939298510496964,0.017910260204731205
MI,9,8,178791,137767,0.23151329002383877,0.2277919883331983
MI,9,10,554425,435977,0.7179150842126663,0.7208697851992335
MI,9,11,25201,20217,0.03263232725299798,0.03342796626283704
MI,10,8,82324,64086,0.10619464460319548,0.10331918900095442
MI,10,9,513271,410340,0.6620989192717404,0.661548481956303
MI,10,10,172612,139906,0.222662528475861,0.2255558851600588
MI,10,11,7011,5940,0.009043907649203192,0.009576443882683725
MI,11,9,192267,158723,0.2470361495319898,0.2535276284305927
MI,11,11,352352,282318,0.4527229392454018,0.45094543955991295
MI,11,14,233676,185017,0.3002409112226084,0.2955269320094943
MI,12,9,14873,11459,0.019185175056821553,0.01922322018714918
MI,12,11,95535,78430,0.12323375909725322,0.1315714424712549
MI,12,12,109976,79260,0.14186168305311686,0.1329638216278422
MI,12,13,412890,313669,0.5326004793391415,0.5262002140573258
MI,12,14,141960,113284,0.18311890345366688,0.19004130165642794
MI,13,12,198124,156366,0.25542173645113797,0.2638015591970186
MI,13,13,261676,199175,0.3373530632714259,0.3360236595747553
MI,13,14,315874,237200,0.40722520027743614,0.40017478122822614
MN,1,1,643026,494666,0.901628333821754,0.9005946117181839
MN,1,2,70157,54600,0.09837166617824597,0.0994053882818161
MN,2,1,40258,30476,0.05570222045117443,0.05626220743689055
MN,2,2,661801,496726,0.9156884394855106,0.9170134286421084
MN,2,4,20677,14476,0.028609340063314958,0.026724363921001037
MN,3,3,671188,515984,0.9441516971683382,0.9426207496259543
MN,3,5,21781,17264,0.03063905808212241,0.031538583796285304
MN,3,6,17921,14145,0.02520924474953931,0.025840666577760404
MN,4,4,703942,542960,1,1
MN,5,5,714223,572519,1,1
MN,6,3,66356,48618,0.09297685386929491,0.0920087962665072
MN,6,6,647327,479788,0.9070231461307051,0.9079912037334928
MN,7,1,7442,5689,0.010421465810954442,0.010432024058385595
MN,7,6,25409,19412,0.03558170179932026,0.03559614185645652
MN,7,7,621057,474283,0.8697022698406253,0.8697014706421682
MN,7,8,60195,45956,0.08429456254910006,0.0842703634429897
MN,8,4,1866,1534,0.002614419377527202,0.0027321090492652337
MN,8,6,43695,33211,0.061220286549330705,0.059149982813003696
MN,8,7,52433,39272,0.07346294277700095,0.06994484131860773
MN,8,8,615740,487454,0.8627023512961411,0.8681730668191233
MS,1,1,739366,569313,0.9986843882540455,0.9986195404315032
MS,1,3,974,787,0.0013156117459545615,0.001380459568496755
MS,2,2,675833,519999,0.9105757985675097,0.9070308984158326
MS,2,3,66371,53299,0.08942420143249026,0.0929691015841674
MS,3,1,19181,14835,0.02597594303466619,0.02618845448398947
MS,3,2,2374,1836,0.0032149986322036147,0.003241119139373419
MS,3,3,679664,521597,0.9204375865029645,0.9207832351523731
MS,3,4,37195,28203,0.050371471830165736,0.04978719122426391
MS,4,4,740321,567730,1,1
MO,1,1,692678,547997,0.8982996995197763,0.8973098568717446
MO,1,2,78421,62714,0.10170030048022369,0.10269014312825543
MO,2,1,22066,17990,0.029012985237116005,0.030351599406127684
MO,2,2,547172,429044,0.7194368330537133,0.7238561209339992
MO,2,3,191318,145686,0.25155018170917065,0.24579227965987313
MO,3,2,107187,83396,0.13762142840635086,0.1371180159353903
MO,3,3,455520,354190,0.5848592932693418,0.5823520320417753
MO,3,4,137707,109727,0.17680720648542603,0.18041091340762833
MO,3,8,78440,60893,0.10071207183888123,0.10011903861520603
MO,4,3,16228,12903,0.021153041499222466,0.021960459939137717
MO,4,4,585613,450316,0.7633408979223667,0.7664222644309648
MO,4,5,107053,80878,0.13954255309442093,0.13765156002151285
MO,4,6,26758,19551,0.03487879494923557,0.03327512611563834
MO,4,7,31519,23908,0.04108471253475431,0.040690589492746225
MO,5,5,650646,508036,0.846525146758816,0.8512681824198767
MO,5,6,117962,88763,0.15347485324118407,0.1487318175801233
MO,6,3,59574,44385,0.07733980363214327,0.0753519309515887
MO,6,4,43549,33532,0.05653592352999978,0.05692691108862616
MO,6,5,29377,22456,0.038137634056828025,0.03812330655511718
MO,6,6,637789,488663,0.827986638781029,0.829597851404668
MO,7,4,9515,6473,0.012355393846845057,0.01086916368057118
MO,7,7,760594,589065,0.987644606153155,0.9891308363194288
MO,8,2,49425,38548,0.06433645263704608,0.06478154630062213
MO,8,3,77043,57969,0.10028676419860276,0.09741935917559315
MO,8,8,641759,498529,0.8353767831643512,0.8377990945237848
MT,1,0,542491,432307,1,1
MT,2,0,541734,417816,1,1
NE,1,1,583030,443053,0.8973502594948009,0.8998192452983468
NE,1,2,66694,49327,0.10264974050519914,0.10018075470165319
NE,2,1,54555,40893,0.08322705249154838,0.08222706598192706
NE,2,3,600941,456425,0.9167729475084516,0.9177729340180729
NE,3,1,22278,16618,0.033945669862437605,0.034163259180682075
NE,3,2,634006,469811,0.9660543301375624,0.9658367408193179
NV,1,1,397629,304605,0.5158171525233761,0.5086838897146007
NV,1,3,345233,273896,0.4478473728452973,0.45740051101351015
NV,1,4,28010,20309,0.0363354746313266,0.033915599271889245
NV,2,2,758820,596222,0.9762429787748653,0.9759332160248803
NV,2,4,18466,14703,0.023757021225134636,0.024066783975119695
NV,3,1,179499,144526,0.2320628628830513,0.23524873281528239
NV,3,3,506708,398992,0.6550906084476524,0.6494496658278451
NV,3,4,87286,70836,0.1128465286692963,0.11530160135687242
NV,4,1,125728,95276,0.16057974642479914,0.16169385154021218
NV,4,3,3695,3324,0.004719252378464883,0.005641193611399148
NV,4,4,653540,490637,0.834701001196736,0.8326649548483886
NH,1,1,688764,560816,1,1
NH,2,1,8973,7536,0.013027665459191451,0.013460411814297758
NH,2,2,679792,552328,0.9869723345408086,0.9865395881857022
NJ,1,1,739308,578567,0.9554943237039641,0.9544963367092909
NJ,1,2,34436,27582,0.0445056762960359,0.04550366329070905
NJ,2,1,13861,10494,0.017861307801838835,0.017075409067833013
NJ,2,2,695890,550545,0.8967250188457995,0.8958243839575116
NJ,2,3,66284,53529,0.08541367335236169,0.08710020697465537
NJ,3,2,2048,1697,0.0026334603772226253,0.0027642488312619113
NJ,3,3,432394,341443,0.5560021808343749,0.5561776156114089
NJ,3,4,232718,183487,0.2992449375324682,0.2988825723640273
NJ,3,6,41502,32004,0.05336614871850263,0.05213141991497125
